,link,price
164,https://www.ikea.com/sa/en/p/havsta-coffee-table-grey-00414203/,SR845
165,https://www.ikea.com/sa/en/p/malm-ottoman-bed-black-brown-80404808/,"SR2,895"
166,https://www.ikea.com/sa/en/p/fabrikoer-glass-door-cabinet-pale-grey-green-50460122/,"SR1,145"
167,https://www.ikea.com/sa/en/p/galant-drawer-unit-on-castors-black-stained-ash-veneer-60365153/,SR995
168,https://www.ikea.com/sa/en/p/platsa-open-clothes-hanging-unit-white-60452602/,SR425
169,https://www.ikea.com/sa/en/p/gammalbyn-3-seat-sofa-beige-70504808/,"SR2,199"
170,https://www.ikea.com/sa/en/p/trogen-childrens-step-stool-yellow-80371520/,SR115
171,https://www.ikea.com/sa/en/p/froesvi-folding-chair-beech-70534315/,SR129
172,https://www.ikea.com/sa/en/p/hornavan-trolley-white-70243873/,SR199
173,https://www.ikea.com/sa/en/p/vihals-shelving-unit-with-4-shelves-white-50483289/,SR495
174,https://www.ikea.com/sa/en/p/ekeroe-armchair-bomstad-black-70494588/,"SR1,195"
175,https://www.ikea.com/sa/en/p/segeroen-chair-with-armrests-outdoor-dark-green-10514754/,SR395
176,https://www.ikea.com/sa/en/p/brimnes-bedside-table-white-10234942/,SR225
177,https://www.ikea.com/sa/en/p/strandmon-wing-chair-nordvalla-dark-grey-20343224/,SR995
178,https://www.ikea.com/sa/en/p/oerfjaell-childrens-desk-chair-white-vissle-light-grey-10501884/,SR259
179,https://www.ikea.com/sa/en/p/strandmon-wing-chair-grann-bomstad-dark-brown-00494638/,"SR1,799"
180,https://www.ikea.com/sa/en/p/kleppstad-wardrobe-with-2-doors-white-80437234/,SR525
181,https://www.ikea.com/sa/en/p/falskaer-coffee-table-outdoor-brown-50533736/,SR375
182,https://www.ikea.com/sa/en/p/vinliden-cover-for-2-seat-sofa-hakebo-dark-grey-00438360/,SR480
183,https://www.ikea.com/sa/en/p/havberg-swivel-armchair-lejde-grey-black-50514894/,"SR1,445"
184,https://www.ikea.com/sa/en/p/torparoe-table-in-outdoor-white-foldable-60420748/,SR195
185,https://www.ikea.com/sa/en/p/bosnaes-footstool-with-storage-ransta-black-40266682/,SR135
186,https://www.ikea.com/sa/en/p/malm-bed-storage-box-for-high-bed-frame-white-40249541/,SR300
187,https://www.ikea.com/sa/en/p/platsa-open-shelving-unit-white-10452572/,SR425
188,https://www.ikea.com/sa/en/p/tullstorp-tv-bench-grey-00498429/,SR345
189,https://www.ikea.com/sa/en/p/segeroen-chair-with-armrests-outdoor-white-beige-50510810/,SR395
190,https://www.ikea.com/sa/en/p/eket-cabinet-dark-grey-50334591/,SR139
191,https://www.ikea.com/sa/en/p/ingolf-chair-white-hallarp-beige-50473073/,SR379
192,https://www.ikea.com/sa/en/p/besta-tv-bench-white-40299890/,SR645
193,https://www.ikea.com/sa/en/p/trofast-wall-storage-grey-90565198/,SR149
194,https://www.ikea.com/sa/en/p/gersby-bookcase-white-70261131/,SR195
195,https://www.ikea.com/sa/en/p/kallax-shelving-unit-black-brown-40275846/,SR329
196,https://www.ikea.com/sa/en/p/vilhatten-wardrobe-with-2-doors-and-2-drawers-oak-effect-70530609/,"SR1,245"
197,https://www.ikea.com/sa/en/p/idasen-underframe-sit-stand-f-table-tp-el-dark-grey-10412171/,"SR2,850"
198,https://www.ikea.com/sa/en/p/hemnes-bookcase-white-stain-light-brown-60413502/,"SR1,199"
199,https://www.ikea.com/sa/en/p/slattum-upholstered-bed-frame-knisa-light-grey-60446376/,SR895
200,https://www.ikea.com/sa/en/p/bergmund-cover-for-bar-stool-with-backrest-ryrane-dark-blue-00481099/,SR70
201,https://www.ikea.com/sa/en/p/trofast-mesh-storage-box-dark-grey-60518453/,SR35
202,https://www.ikea.com/sa/en/p/teodores-chair-green-00530617/,SR179
203,https://www.ikea.com/sa/en/p/bekvaem-step-stool-white-40178888/,SR145
204,https://www.ikea.com/sa/en/p/rakkestad-wardrobe-with-3-doors-black-brown-70453762/,SR845
205,https://www.ikea.com/sa/en/p/gidea-table-white-stone-effect-white-90515919/,"SR1,799"
206,https://www.ikea.com/sa/en/p/groenlid-cover-for-1-seat-section-inseros-white-10500870/,SR195
207,https://www.ikea.com/sa/en/p/koppang-chest-of-5-drawers-white-50322847/,SR875
208,https://www.ikea.com/sa/en/p/baggebo-cabinet-with-door-white-60481204/,SR179
209,https://www.ikea.com/sa/en/p/ektorp-cover-for-3-seat-sofa-with-chaise-longue-hallarp-grey-50472634/,SR995
210,https://www.ikea.com/sa/en/p/trofast-mesh-storage-box-grey-blue-60518575/,SR45
211,https://www.ikea.com/sa/en/p/havsta-shelving-unit-with-plinth-white-00388633/,SR995
212,https://www.ikea.com/sa/en/p/trotten-drawer-unit-white-20474762/,SR245
