69,20344921,EKET,Cabinets & cupboards,https://www.ikea.com/sa/en/p/eket-cabinet-w-2-doors-and-1-shelf-dark-grey-20344921/,SR459
70,10510303,NÄMMARÖ,Outdoor furniture,https://www.ikea.com/sa/en/p/naemmaroe-bar-table-outdoor-light-brown-stained-10510303/,SR445
71,70510809,SEGERÖN,Outdoor furniture,https://www.ikea.com/sa/en/p/segeroen-corner-section-outdoor-white-beige-70510809/,0
72,50406465,FRANKLIN,Dining furniture,https://www.ikea.com/sa/en/p/franklin-bar-stool-with-backrest-foldable-black-black-50406465/,SR179
73,40399314,KLIPPAN,Sofas,https://www.ikea.com/sa/en/p/klippan-2-seat-sofa-bomstad-black-40399314/,"SR1,595"
74,10549895,HYLTARP,Armchairs & chaise longues,https://www.ikea.com/sa/en/p/hyltarp-cover-f-3-seat-sofa-w-chs-lng-left-gransel-grey-10549895/,SR995
75,90501309,FJÄLLBO,TV & media furniture,https://www.ikea.com/sa/en/p/fjaellbo-tv-bench-black-90501309/,SR579
76,10507838,LÅNESPELARE,Gaming furniture,https://www.ikea.com/sa/en/p/lanespelare-mouse-bungee-black-10507838/,SR89
77,50305739,KALLAX,Bookcases & shelving units,https://www.ikea.com/sa/en/p/kallax-shelving-unit-high-gloss-white-50305739/,SR299
78,40489296,TONSTAD,Dining furniture,https://www.ikea.com/sa/en/p/tonstad-sideboard-brown-stained-oak-veneer-40489296/,"SR1,495"
79,90446351,HAUGA,Beds,https://www.ikea.com/sa/en/p/hauga-upholstered-bed-frame-vissle-grey-90446351/,"SR1,095"
80,90569238,ÄLEBY,Armchairs & chaise longues,https://www.ikea.com/sa/en/p/aeleby-swivel-armchair-gunnared-medium-grey-dark-grey-90569238/,"SR1,599"
81,10490456,GLADSTAD,Beds,https://www.ikea.com/sa/en/p/gladstad-upholstered-bed-frame-kabusa-light-grey-10490456/,"SR1,595"
82,90516061,TROFAST,Nursery furniture,https://www.ikea.com/sa/en/p/trofast-frame-light-white-stained-pine-90516061/,SR225
83,60463304,LÄCKÖ,Outdoor furniture,https://www.ikea.com/sa/en/p/laeckoe-chair-with-armrests-outdoor-dark-grey-60463304/,SR255
84,40452603,PLATSA,Cabinets & cupboards,https://www.ikea.com/sa/en/p/platsa-open-clothes-hanging-unit-white-40452603/,SR325
85,547057,MÅNHULT,Dining furniture,https://www.ikea.com/sa/en/p/manhult-chair-black-hakebo-grey-green-00547057/,SR229
86,10330811,LANGUR,Nursery furniture,https://www.ikea.com/sa/en/p/langur-seat-shell-for-highchair-white-10330811/,SR140
87,30506753,RANNÄS,TV & media furniture,https://www.ikea.com/sa/en/p/rannaes-tv-bench-with-doors-black-black-glass-30506753/,"SR1,595"
88,20493968,PÄRUP,Armchairs & chaise longues,https://www.ikea.com/sa/en/p/paerup-cover-for-3-seat-sofa-with-chaise-longue-vissle-grey-20493968/,SR895
89,40497239,BACKSÄLEN,Armchairs & chaise longues,https://www.ikea.com/sa/en/p/backsaelen-cover-for-3-seat-sofa-katorp-natural-40497239/,SR945
90,70228325,RESÖ,Outdoor furniture,https://www.ikea.com/sa/en/p/resoe-childrens-picnic-table-light-brown-stained-70228325/,SR265
91,30472625,VRETSTORP,Armchairs & chaise longues,https://www.ikea.com/sa/en/p/vretstorp-cover-for-3-seat-sofa-bed-totebo-light-beige-30472625/,SR695
92,80411272,VITVAL,Beds,https://www.ikea.com/sa/en/p/vitval-bunk-bed-frame-white-light-grey-80411272/,"SR2,195"
93,10459620,IDANÄS,Beds,https://www.ikea.com/sa/en/p/idanaes-upholstered-storage-bed-gunnared-dark-grey-10459620/,"SR2,295"
94,80428852,EKET,Bookcases & shelving units,https://www.ikea.com/sa/en/p/eket-cabinet-white-stained-oak-effect-80428852/,SR139
95,70493447,VISTHUS,Wardrobes,https://www.ikea.com/sa/en/p/visthus-wardrobe-grey-white-70493447/,SR995
96,50501071,GREÅKER,Cabinets & cupboards,https://www.ikea.com/sa/en/p/greaker-cabinet-with-drawers-white-50501071/,SR875
97,40504193,GÖRSNYGG,Beds,https://www.ikea.com/sa/en/p/goersnygg-storage-case-white-transparent-40504193/,SR15
98,50511843,STRANDMON,Armchairs & chaise longues,https://www.ikea.com/sa/en/p/strandmon-slipcover-for-wing-chair-risane-natural-50511843/,SR250
99,10407136,IKEA PS LÖMSK,Armchairs & chaise longues,https://www.ikea.com/sa/en/p/ikea-ps-loemsk-swivel-armchair-white-red-10407136/,SR449
100,10424353,VIMUND,Chairs,https://www.ikea.com/sa/en/p/vimund-childrens-desk-chair-light-pink-10424353/,SR395
101,90456967,STRANDMON,Armchairs & chaise longues,https://www.ikea.com/sa/en/p/strandmon-footstool-vibberbo-black-beige-90456967/,SR545
102,559724,PLATSA,Cabinets & cupboards,https://www.ikea.com/sa/en/p/platsa-open-shelving-unit-blue-00559724/,SR275
103,20546622,NYHAMN,Armchairs & chaise longues,https://www.ikea.com/sa/en/p/nyhamn-cover-for-3-seat-sofa-bed-skartofta-black-light-grey-20546622/,SR345
104,488901,IVAR,Cabinets & cupboards,https://www.ikea.com/sa/en/p/ivar-underframe-pine-00488901/,SR175
105,70419971,JONAXEL,Chests of drawers & drawer units,https://www.ikea.com/sa/en/p/jonaxel-shelving-unit-white-70419971/,SR130
106,90529006,JÄTTEBO,Armchairs & chaise longues,https://www.ikea.com/sa/en/p/jaettebo-cover-1-5-seat-module-with-storage-samsala-grey-beige-90529006/,SR295
107,20483295,VIHALS,Chairs,https://www.ikea.com/sa/en/p/vihals-tv-bench-white-20483295/,SR499
108,10519073,SÖDERHAMN,Armchairs & chaise longues,https://www.ikea.com/sa/en/p/soederhamn-cover-for-3-seat-section-gransel-natural-10519073/,SR840
109,80490453,GLADSTAD,Beds,https://www.ikea.com/sa/en/p/gladstad-upholstered-bed-frame-kabusa-light-grey-80490453/,"SR1,345"
