,item_id,name,category,link,price
789,90533174,EKENÄSET,Armchairs & chaise longues,https://www.ikea.com/sa/en/p/ekenaeset-armchair-kilanda-light-beige-90533174/,SR995
790,30555296,HÄSTVISKARE,Bookcases & shelving units,https://www.ikea.com/sa/en/p/haestviskare-wall-organiser-w-hooks-oak-30555296/,SR95
791,90486196,BERGMUND,Dining furniture,https://www.ikea.com/sa/en/p/bergmund-chair-cover-nykvarn-grey-90486196/,SR90
792,20340758,EKEDALEN,Dining furniture,https://www.ikea.com/sa/en/p/ekedalen-extendable-table-dark-brown-20340758/,"SR1,445"
793,70330945,PLATSA,Cabinets & cupboards,https://www.ikea.com/sa/en/p/platsa-frame-white-70330945/,SR400
794,20537854,TORPARÖ,Outdoor furniture,https://www.ikea.com/sa/en/p/torparoe-reclining-chair-outdoor-white-grey-20537854/,SR230
795,488963,HAUGA,Chests of drawers & drawer units,https://www.ikea.com/sa/en/p/hauga-bedside-table-white-00488963/,SR295
796,10311308,KOPPANG,Chests of drawers & drawer units,https://www.ikea.com/sa/en/p/koppang-chest-of-6-drawers-white-10311308/,SR895
797,50519028,SÖDERHAMN,Armchairs & chaise longues,https://www.ikea.com/sa/en/p/soederhamn-cover-for-chaise-longue-tonerud-grey-50519028/,SR480
798,90342688,JOKKMOKK,Dining furniture,https://www.ikea.com/sa/en/p/jokkmokk-chair-antique-stain-90342688/,SR159
799,60228712,BRIMNES,Beds,https://www.ikea.com/sa/en/p/brimnes-headboard-with-storage-compartment-white-60228712/,SR375
800,70518565,TROFAST,Nursery furniture,https://www.ikea.com/sa/en/p/trofast-mesh-storage-box-dark-grey-70518565/,SR45
801,70474062,BESTÅ,TV & media furniture,https://www.ikea.com/sa/en/p/besta-tv-bench-black-brown-70474062/,SR700
802,481122,KOPPANG,Chests of drawers & drawer units,https://www.ikea.com/sa/en/p/koppang-chest-of-6-drawers-black-brown-00481122/,SR895
803,439468,NORDKISA,Wardrobes,https://www.ikea.com/sa/en/p/nordkisa-open-wardrobe-with-sliding-door-bamboo-00439468/,"SR1,250"
804,50402641,HAUGA,Chests of drawers & drawer units,https://www.ikea.com/sa/en/p/hauga-chest-of-3-drawers-with-shelf-white-50402641/,SR745
805,40501892,KALLAX,Bookcases & shelving units,https://www.ikea.com/sa/en/p/kallax-underframe-white-40501892/,SR100
806,60462620,MYLLRA,Nursery furniture,https://www.ikea.com/sa/en/p/myllra-changing-table-with-drawers-pale-pink-60462620/,"SR1,795"
807,80346583,YPPERLIG,Dining furniture,https://www.ikea.com/sa/en/p/ypperlig-table-ash-80346583/,"SR1,395"
